time_s,neck_pitch_joint,head_roll_joint,head_yaw_joint,head_pitch_joint,neck_pitch_joint_fit,head_roll_joint_fit,head_yaw_joint_fit,head_pitch_joint_fit,neck_pitch_joint_residual,head_roll_joint_residual,head_yaw_joint_residual,head_pitch_joint_residual
0.0,0.114571996033191,0.534014284610748,-0.637891948223114,0.128419503569602,0.18781030459672138,0.4082094448246273,-0.8173319472724628,0.011615253246298777,-0.07323830856353038,0.12580483978612067,0.17943999904934882,0.11680425032330322
0.03333333333333333,0.131635069847106,0.537795364856719,-0.692550122737884,0.122970536351203,0.18021904866923824,0.43075482561376766,-0.7889473914617572,0.05943285679659529,-0.04858397882213225,0.10704053924295132,0.09639726872387322,0.0635376795546077
0.06666666666666667,0.158659189939498,0.545799612998962,-0.736562430858612,0.127425163984298,0.18315030560215576,0.4459698878132825,-0.7481797546637223,0.0935749545316325,-0.024491115662657742,0.09982972518567945,0.01161732380511038,0.03385020945266551
0.1,0.196959689259529,0.540690183639526,-0.747967541217803,0.136409237980842,0.19659341584963994,0.45229457186487293,-0.6976895741042118,0.11214479101722119,0.0003662734098890674,0.0883956117746531,-0.050277967113591115,0.024264446963620817
0.13333333333333333,0.234528467059135,0.516189932823181,-0.73815906047821,0.13958927989006,0.21944540904064527,0.4487815548774278,-0.6403856171366779,0.11468045667567729,0.01508305801848972,0.06740837794575322,-0.09777344334153215,0.024908823214382717
0.16666666666666666,0.269290179014205,0.481446117162704,-0.697203516960144,0.127007260918617,0.2496663207912708,0.4353253592841345,-0.5792659739152645,0.10214481937529568,0.019623858222934193,0.04612075787856951,-0.11793754304487958,0.024862441543321318
0.2,0.276927649974822,0.416854828596115,-0.526640832424163,0.00981649290770292,0.2845485467020105,0.41280010049354343,-0.5173267429637691,0.0767710320379211,-0.00762089672718852,0.00405472810257157,-0.009314089460393915,-0.06695453913021818
0.23333333333333334,0.305974304676055,0.352559983730316,-0.423935145139694,-0.0299959927797317,0.3210606105875586,0.38307073931770674,-0.4575191824050416,0.04178508232694994,-0.015086305911503561,-0.030510755587390748,0.03358403726534759,-0.07178107510668164
0.26666666666666666,0.349660813808441,0.29036322236061,-0.353572279214859,-0.0552181303501129,0.356216440257212,0.34886083398329976,-0.40272364728526294,0.0010396059649128348,-0.006555626448771001,-0.05849761162268974,0.049151368070403934,-0.05625773631502574
0.3,0.393869787454605,0.231206610798835,-0.304917156696319,-0.0637985467910766,0.38741925834539054,0.3134821899430251,-0.35570490144456046,-0.04139841261083629,0.0064505291092144534,-0.08227557914419012,0.05078774474824144,-0.022400134180240318
