-6.620938330888748169e-02,-1.352605316787958145e-02,3.080517649650573730e-01,-1.460037194192409515e-02,-1.577055156230926514e-01,1.212295591831207275e-01,9.799077510833740234e-01,1.606474258005619049e-02,-5.562130212783813477e-01,1.145929813385009766e+00,3.366594016551971436e-01,-1.408121138811111450e-01,-5.046269893646240234e-01,1.324169635772705078e+00,2.744067013263702393e-01,1.018473580479621887e-01,2.379685491323471069e-01,-1.140365302562713623e-01,3.486035019159317017e-02,3.638499081134796143e-01,-4.488904178142547607e-01,3.502999246120452881e-02,-7.010636925697326660e-01,-1.800000071525573730e-01,9.200466871261596680e-01,-2.999999932944774628e-02,-8.814643025398254395e-01,1.259378194808959961e-01,1.051231980323791504e+00,-2.999999932944774628e-02
-6.539059430360794067e-02,-9.819051250815391541e-03,3.035992383956909180e-01,-2.629424259066581726e-02,-8.342897891998291016e-02,1.230037137866020203e-01,9.885435104370117188e-01,1.111889630556106567e-02,-6.521285772323608398e-01,1.323479652404785156e+00,6.564708352088928223e-01,-1.472577303647994995e-01,-6.084350943565368652e-01,1.497760534286499023e+00,5.733607411384582520e-01,1.133344620466232300e-01,1.064360812306404114e-01,-1.343285739421844482e-01,2.345693483948707581e-02,4.140920937061309814e-01,-4.381887316703796387e-01,7.383371889591217041e-02,-7.536875605583190918e-01,-1.800000071525573730e-01,9.909041523933410645e-01,-2.999999932944774628e-02,-9.684143662452697754e-01,2.762734293937683105e-01,1.247246742248535156e+00,-2.999999932944774628e-02
-6.476970016956329346e-02,-9.748661890625953674e-03,3.039713203907012939e-01,-2.382163517177104950e-02,-8.468145877122879028e-02,1.222514808177947998e-01,9.885930418968200684e-01,4.104790277779102325e-03,-6.380348205566406250e-01,1.336400508880615234e+00,6.987001895904541016e-01,-1.437311619520187378e-01,-5.965158939361572266e-01,1.508881807327270508e+00,6.102800965309143066e-01,1.106298789381980896e-01,1.147340014576911926e-01,-1.318803131580352783e-01,2.171450480818748474e-02,4.117850363254547119e-01,-4.393745958805084229e-01,7.853394746780395508e-02,-7.509515881538391113e-01,-1.800000071525573730e-01,9.932686686515808105e-01,-2.999999932944774628e-02,-9.684231281280517578e-01,2.783696055412292480e-01,1.251746773719787598e+00,-2.999999932944774628e-02
-6.433366239070892334e-02,-9.587072767317295074e-03,3.044094741344451904e-01,-2.307948656380176544e-02,-8.573886752128601074e-02,1.221066042780876160e-01,9.885373711585998535e-01,3.343072719871997833e-03,-6.308333873748779297e-01,1.343620181083679199e+00,7.184209823608398438e-01,-1.424642205238342285e-01,-5.887259244918823242e-01,1.516099929809570312e+00,6.294699311256408691e-01,1.103793010115623474e-01,1.206936836242675781e-01,-1.332774907350540161e-01,2.139529027044773102e-02,4.095736145973205566e-01,-4.388863146305084229e-01,7.855909317731857300e-02,-7.420336008071899414e-01,-1.800000071525573730e-01,9.869035482406616211e-01,-2.999999932944774628e-02,-9.683861136436462402e-01,2.830232381820678711e-01,1.254847764968872070e+00,-2.999999932944774628e-02
-6.370239704847335815e-02,-9.627093560993671417e-03,3.046931624412536621e-01,-2.192180790007114410e-02,-8.643758296966552734e-02,1.224671751260757446e-01,9.884582757949829102e-01,1.633504056371748447e-03,-6.256710886955261230e-01,1.347132086753845215e+00,7.279036045074462891e-01,-1.407611221075057983e-01,-5.834102034568786621e-01,1.518390774726867676e+00,6.381929516792297363e-01,1.101481765508651733e-01,1.249679550528526306e-01,-1.335119903087615967e-01,2.052168361842632294e-02,4.048101902008056641e-01,-4.388356208801269531e-01,7.672214508056640625e-02,-7.355362772941589355e-01,-1.800000071525573730e-01,9.799187183380126953e-01,-2.999999932944774628e-02,-9.683329463005065918e-01,2.854149341583251953e-01,1.254887223243713379e+00,-2.999999932944774628e-02
-6.323163956403732300e-02,-9.547148831188678741e-03,3.050213456153869629e-01,-2.240751124918460846e-02,-8.618722110986709595e-02,1.220615729689598083e-01,9.885194301605224609e-01,1.742829103022813797e-03,-6.225892305374145508e-01,1.346286296844482422e+00,7.320517897605895996e-01,-1.425352394580841064e-01,-5.798600912094116211e-01,1.517547726631164551e+00,6.426612138748168945e-01,1.118755191564559937e-01,1.257386654615402222e-01,-1.329049617052078247e-01,2.086284011602401733e-02,3.979449868202209473e-01,-4.387172162532806396e-01,7.309585064649581909e-02,-7.331512570381164551e-01,-1.800000071525573730e-01,9.770494699478149414e-01,-2.999999932944774628e-02,-9.683123826980590820e-01,2.852014303207397461e-01,1.253164291381835938e+00,-2.999999932944774628e-02
-6.282231211662292480e-02,-9.816538542509078979e-03,3.051429688930511475e-01,-2.131561934947967529e-02,-8.550601452589035034e-02,1.231697127223014832e-01,9.884652495384216309e-01,-2.273835998494178057e-04,-6.220996379852294922e-01,1.346385002136230469e+00,7.334868907928466797e-01,-1.407800465822219849e-01,-5.792829990386962891e-01,1.517818689346313477e+00,6.436721086502075195e-01,1.114272400736808777e-01,1.254440397024154663e-01,-1.328885108232498169e-01,2.281800098717212677e-02,3.918802142143249512e-01,-4.350273609161376953e-01,6.831472367048263550e-02,-7.343856692314147949e-01,-1.800000071525573730e-01,9.785854816436767578e-01,-2.999999932944774628e-02,-9.684277176856994629e-01,2.866308093070983887e-01,1.253756523132324219e+00,-2.999999932944774628e-02
-6.325062364339828491e-02,-9.671154431998729706e-03,3.052279949188232422e-01,-2.083081938326358795e-02,-8.440069854259490967e-02,1.211887747049331665e-01,9.888153672218322754e-01,-6.777935195714235306e-03,-6.184539198875427246e-01,1.337941050529479980e+00,7.411456108093261719e-01,-1.395085453987121582e-01,-5.815231204032897949e-01,1.518685221672058105e+00,6.455973386764526367e-01,1.107589900493621826e-01,1.237835139036178589e-01,-1.262582987546920776e-01,2.669024467468261719e-02,3.876630663871765137e-01,-4.350866973400115967e-01,6.637665629386901855e-02,-7.347307205200195312e-01,-1.800000071525573730e-01,9.791839122772216797e-01,-2.999999932944774628e-02,-9.684511423110961914e-01,2.862175107002258301e-01,1.253450393676757812e+00,-2.999999932944774628e-02
-6.306381523609161377e-02,-9.957314468920230865e-03,3.052520751953125000e-01,-1.849549636244773865e-02,-8.475505560636520386e-02,1.223030462861061096e-01,9.886943101882934570e-01,-9.299151599407196045e-03,-6.127663254737854004e-01,1.335792660713195801e+00,7.473044991493225098e-01,-1.339450627565383911e-01,-5.817558169364929199e-01,1.520549654960632324e+00,6.464267373085021973e-01,1.074928790330886841e-01,1.266580969095230103e-01,-1.260417252779006958e-01,2.848455309867858887e-02,3.844833374023437500e-01,-4.346998035907745361e-01,6.393191218376159668e-02,-7.327373623847961426e-01,-1.800000071525573730e-01,9.789744019508361816e-01,-2.999999932944774628e-02,-9.684042334556579590e-01,2.884542346000671387e-01,1.254631042480468750e+00,-2.999999932944774628e-02
-6.294701248407363892e-02,-1.023927796632051468e-02,3.054733276367187500e-01,-1.740977913141250610e-02,-8.523508906364440918e-02,1.236421838402748108e-01,9.885061979293823242e-01,-9.106261655688285828e-03,-6.124172806739807129e-01,1.338188171386718750e+00,7.488557100296020508e-01,-1.316099166870117188e-01,-5.799203515052795410e-01,1.522262096405029297e+00,6.491861939430236816e-01,1.057951152324676514e-01,1.293596774339675903e-01,-1.283431202173233032e-01,3.074523247778415680e-02,3.858189284801483154e-01,-4.332456886768341064e-01,6.094412878155708313e-02,-7.279539704322814941e-01,-1.800000071525573730e-01,9.747867584228515625e-01,-2.999999932944774628e-02,-9.684157371520996094e-01,2.912389636039733887e-01,1.256565928459167480e+00,-2.999999932944774628e-02
