3.088259510695934296e-02,-1.408387999981641769e-02,4.312738776206970215e-01,2.319374121725559235e-03,-8.855700492858886719e-03,-1.353525817394256592e-01,9.907552003860473633e-01,-3.648324869573116302e-03,-1.345296949148178101e-01,1.939393696375191212e-03,0.000000000000000000e+00,-2.008074522018432617e-02,1.869773268699645996e-01,1.187726482748985291e-02,0.000000000000000000e+00,7.790580391883850098e-02,-1.621096581220626831e-01,2.302078530192375183e-03,-2.999626845121383667e-02,3.876696527004241943e-02,-1.799994409084320068e-01,-2.100395411252975464e-01,-2.878424338996410370e-02
3.259983286261558533e-02,-1.362195797264575958e-02,4.309392571449279785e-01,2.997379982843995094e-03,-1.098199468106031418e-02,-1.384061425924301147e-01,9.903101325035095215e-01,-2.561080036684870720e-03,-1.292981058359146118e-01,1.239418052136898041e-03,0.000000000000000000e+00,-2.145751193165779114e-02,1.978958100080490112e-01,8.467237465083599091e-03,0.000000000000000000e+00,8.595004677772521973e-02,-1.611665040254592896e-01,-1.619759760797023773e-02,-2.999999932944774628e-02,4.621183872222900391e-02,-1.800000071525573730e-01,-2.267179489135742188e-01,-2.973956242203712463e-02
3.458346053957939148e-02,-1.377568766474723816e-02,4.305668175220489502e-01,4.637101199477910995e-03,-1.355625689029693604e-02,-1.416607648134231567e-01,9.898115992546081543e-01,-1.762430998496711254e-03,-1.207716464996337891e-01,2.786247932817786932e-04,0.000000000000000000e+00,-2.112970873713493347e-02,2.067264467477798462e-01,1.066519692540168762e-02,0.000000000000000000e+00,9.024947136640548706e-02,-1.614917218685150146e-01,-3.266007825732231140e-02,-2.999999932944774628e-02,4.343688115477561951e-02,-1.800000071525573730e-01,-2.346251904964447021e-01,-2.979583106935024261e-02
3.626003116369247437e-02,-1.388392969965934753e-02,4.304867982864379883e-01,5.779098719358444214e-03,-1.467408146709203720e-02,-1.434464752674102783e-01,9.895324110984802246e-01,-2.888948656618595123e-03,-1.149809285998344421e-01,2.882662520278245211e-04,0.000000000000000000e+00,-1.990593969821929932e-02,2.130299657583236694e-01,1.107936818152666092e-02,0.000000000000000000e+00,9.763909876346588135e-02,-1.605074107646942139e-01,-4.802680760622024536e-02,-2.999999932944774628e-02,4.425857961177825928e-02,-1.800000071525573730e-01,-2.439979761838912964e-01,-2.985842525959014893e-02
3.731414303183555603e-02,-1.372748985886573792e-02,4.301897883415222168e-01,5.752212367951869965e-03,-1.541484333574771881e-02,-1.447061747312545776e-01,9.893378615379333496e-01,-2.458322560414671898e-03,-1.088810414075851440e-01,4.033579607494175434e-04,0.000000000000000000e+00,-1.986924745142459869e-02,2.188725769519805908e-01,1.174468453973531723e-02,0.000000000000000000e+00,1.016630008816719055e-01,-1.584034115076065063e-01,-5.660503730177879333e-02,-2.999999932944774628e-02,4.343952611088752747e-02,-1.800000071525573730e-01,-2.487529367208480835e-01,-2.986353635787963867e-02
3.889436274766921997e-02,-1.330031454563140869e-02,4.298433065414428711e-01,4.086351487785577774e-03,-1.623189076781272888e-02,-1.462518423795700073e-01,9.891057610511779785e-01,2.091934205964207649e-03,-1.014703139662742615e-01,1.986051502171903849e-04,0.000000000000000000e+00,-2.333102002739906311e-02,2.240985333919525146e-01,1.286967005580663681e-02,0.000000000000000000e+00,9.717796742916107178e-02,-1.557842791080474854e-01,-5.622523277997970581e-02,-2.999999932944774628e-02,3.953015804290771484e-02,-1.800000071525573730e-01,-2.511342167854309082e-01,-2.988366596400737762e-02
4.105703160166740417e-02,-1.283947471529245377e-02,4.293590486049652100e-01,1.147676841355860233e-03,-1.733835972845554352e-02,-1.474576741456985474e-01,9.889157414436340332e-01,8.917069993913173676e-03,-9.271315485239028931e-02,4.318418334037232853e-08,0.000000000000000000e+00,-2.853557839989662170e-02,2.295125573873519897e-01,1.401552744209766388e-02,0.000000000000000000e+00,8.637243509292602539e-02,-1.525463461875915527e-01,-4.999964684247970581e-02,-2.999999932944774628e-02,3.788187354803085327e-02,-1.800000071525573730e-01,-2.605810463428497314e-01,-2.997207455337047577e-02
4.344908893108367920e-02,-1.236955821514129639e-02,4.286819100379943848e-01,-2.124174730852246284e-03,-1.916518248617649078e-02,-1.478059589862823486e-01,9.888283610343933105e-01,1.636755280196666718e-02,-8.282256126403808594e-02,7.781709884398733382e-19,0.000000000000000000e+00,-3.449270874261856079e-02,2.362916767597198486e-01,1.796011440455913544e-02,0.000000000000000000e+00,7.135448604822158813e-02,-1.496986895799636841e-01,-4.047826305031776428e-02,-2.999999932944774628e-02,3.611956536769866943e-02,-1.800000071525573730e-01,-2.730815708637237549e-01,-2.999999932944774628e-02
4.612587019801139832e-02,-1.193811185657978058e-02,4.280113577842712402e-01,-5.232534836977720261e-03,-2.174845151603221893e-02,-1.479165107011795044e-01,9.887468218803405762e-01,2.372499182820320129e-02,-7.246141135692596436e-02,4.432110753253666283e-19,0.000000000000000000e+00,-4.066019505262374878e-02,2.442097216844558716e-01,2.742673456668853760e-02,0.000000000000000000e+00,6.055489555001258850e-02,-1.474149674177169800e-01,-4.011436179280281067e-02,-2.999999932944774628e-02,3.560497611761093140e-02,-1.800000071525573730e-01,-2.897344827651977539e-01,-2.999999932944774628e-02
4.874760285019874573e-02,-1.156499329954385757e-02,4.271962940692901611e-01,-8.159986697137355804e-03,-2.493846043944358826e-02,-1.493934243917465210e-01,9.884296059608459473e-01,3.367553278803825378e-02,-6.183478981256484985e-02,-2.025255311595937550e-19,0.000000000000000000e+00,-4.913377761840820312e-02,2.543171942234039307e-01,3.963586688041687012e-02,0.000000000000000000e+00,4.940577596426010132e-02,-1.445151567459106445e-01,-4.062262549996376038e-02,-2.999999932944774628e-02,3.294737637042999268e-02,-1.800000071525573730e-01,-3.050469756126403809e-01,-2.999999932944774628e-02
