Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rr_calf_link,-0.0115087183701991,0.00350234525342875,-0.0383464182594244,0,0,0,0.0214450304469323,1.31826777878514E-05,4.449806351781E-09,-3.25998255468297E-06,1.40957428556964E-05,1.78184075393857E-08,1.04178389401567E-06,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_calf_link.STL,,左后连杆2-4;左后连杆2-1,RR_claf_坐标,RR_calf_轴,rr_calf_joint,revolute,0.022904,-0.0087404,-0.1169,0,0,0,rr_thigh_link,0,1,0.001365,3,0,3,3,,,,,,,,
rr_tarsus_link,0.00144670920248793,-0.000897920976508648,-0.0221243573654532,0,0,0,0.0324561939910817,1.70881560447609E-05,7.44663161476028E-07,3.83714061710298E-06,1.82183851741223E-05,-2.99597954481943E-06,2.86518129185189E-06,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_tarsus_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_tarsus_link.STL,,后脚掌(右)-1,RR_tarsus_坐标,RR_tarsus_轴,rr_tarsus_joint,revolute,-0.019514,0,-0.077584,0,0,0,rr_calf_link,0,1,0.001365,3,3,3,3,,,,,,,,
rr_foot_link,-0.000298551762624694,-1.64288328544093E-06,0.00120359638748868,0,0,0,0.00489075290329225,1.18609558343004E-07,1.91084718235955E-11,-1.39991001555946E-08,1.15137190437281E-07,-7.70348413123107E-11,1.71573752171996E-07,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_foot_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/rr_foot_link.STL,,脚垫-4,RR_foot_坐标,,rr_foot_joint,fixed,0.011375,-0.010242,-0.062024,0,0,0,rr_tarsus_link,0,0,0,,,,,,,,,,,,
waist_roll_link,0.0362486297221281,-0.00550737970759628,0.000794768891028252,0,0,0,0.141621584567429,5.30648569174613E-05,7.61467947827826E-06,4.04155199213313E-08,8.22374213961115E-05,-7.31113881475931E-09,5.7785005484815E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_roll_link.STL,,腰部旋转关节-1;泉智博 PA43-10-25-YB_Deep-2;腰部俯仰限位块-1,waist_roll_坐标,waist_roll_轴,waist_roll_joint,revolute,0.055059,0,0.028279,-0.001365,0,0,base_link,1,0,0,3,3,3,3,,,,,,,,
waist_pitch_link,0.0556229786304857,0.0177328791968604,0.00452064135912505,0,0,0,0.183089328445032,9.45670160780549E-05,-2.59514139507662E-05,-4.0865372625136E-06,0.00013204019696501,-2.68655386120723E-06,0.000167173822110427,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_pitch_link.STL,,泉智博 PA43-10-25-YB_Deep-5;腰部左右旋转件-2,waist_pitch_坐标,waist_pitch_轴,waist_pitch_joint,revolute,0.0415,-0.0235,-3.2077E-05,0,0,0,waist_roll_link,0,1,0.001365,3,3,3,3,,,,,,,,
waist_yaw_link,0.0878393321234382,0.00156952531622348,-0.0569253971028154,0,0,0,0.55184108599771,0.000353821681930151,-4.38576078882416E-06,9.37940346445994E-05,0.000614612812193931,3.06711020376054E-06,0.00034640440781727,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/waist_yaw_link.STL,,腰部左右旋转件-1;泉智博 PA43-10-25-YB_Deep-3;前胸肩关节板2-2;前胸肩关节板2-1;灵足时代 RS01-3;灵足时代 RS01-1,waist_yaw_坐标,waist_yaw_轴,waist_yaw_joint,revolute,0.0635,0.023463,0.026782,0,0,0,waist_pitch_link,0,-0.001365,1,3,3,3,3,,,,,,,,
neck_pitch_link,0.0419248479228125,-0.0218180374979972,0.026656453568948,0,0,0,0.131989644610187,4.96870860671124E-05,1.07136289580396E-05,-1.38474069440574E-05,7.0489691590323E-05,6.81785571742068E-06,6.27359982835762E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/neck_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/neck_pitch_link.STL,,脖子俯仰连杆-1;EL05-P-7,neck_pitch_坐标,neck_pitch_轴,neck_pitch_joint,fixed,0.063536,0.031281,-0.022505,0,0,0,waist_yaw_link,0,0,0,3,3,3,3,,,,,,,,
head_roll_link,0.0225167306034971,-0.00386094313401234,-0.0036280416139077,0,0,0,0.110159102896803,2.89007565167998E-05,-1.04050884232227E-08,-2.91759878695012E-06,2.83050449198131E-05,-1.44832504924664E-07,4.11368476038441E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_roll_link.STL,,脖子旋转连接件-2;EL05-P-5,head_roll_坐标,head_roll_轴,head_roll_joint,revolute,0.067501,-0.02831,0.042889,0,-0.56569,0,neck_pitch_link,-1,0.00073162,0,3,3,3,3,,,,,,,,
head_yaw_link,0.0229721163817896,0.000393753131044339,0.00362355928696776,0,0,0,0.110157560990826,2.89160383338078E-05,1.61401956493515E-08,2.85415254979527E-06,2.82889677364891E-05,-1.20668265126312E-07,4.11371123199354E-05,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_yaw_link.STL,,脖子旋转连接件-1;EL05-P-6,head_yaw_坐标,head_yaw_轴,head_yaw_joint,revolute,0.025514,-0.0039866,0.016495,0,-1.5696,-1.5715,head_roll_link,1,0,0,3,3,3,3,,,,,,,,
head_pitch_link,0.0070851247492735,0.00162049019550919,0.0100223387774619,0,0,0,0.0248246428311304,6.09111406004789E-06,-9.73481330992102E-07,-2.2965892353374E-06,8.22559573990247E-06,-1.27356544602398E-06,4.83734022285239E-06,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://原版整合_step_1.SLDASM/meshes/head_pitch_link.STL,,点头连接件-1,head_pitch_坐标,head_pitch_轴,head_pitch_joint,revolute,0.026017,0.00048337,-0.0165,1.5694,0,2.1365,head_yaw_link,0,-1,-0.001365,3,3,3,3,,,,,,,,
